size,Triton,Torch
4096.000000,1.229968,1.282538
8192.000000,2.426780,2.579074
16384.000000,4.862924,5.116269
32768.000000,9.584089,10.150129
65536.000000,19.168178,19.364523
131072.000000,36.887054,36.707991
262144.000000,67.366113,63.081094
524288.000000,114.573427,102.707588
1048576.000000,180.986595,151.426206
2097152.000000,255.994792,197.051366
4194304.000000,326.447321,236.625427
8388608.000000,373.064678,257.270598
16777216.000000,401.125697,276.458655
33554432.000000,417.092942,278.176838
67108864.000000,425.282464,286.678531
134217728.000000,429.475199,288.048897
