N,Triton,Torch
1024.000000,41.258155,93.464302
1536.000000,57.030185,115.724092
2048.000000,68.920273,123.505973
2560.000000,22.910129,115.768384
3072.000000,26.714405,126.260932
3584.000000,30.143497,125.554335
4096.000000,33.512787,125.752411
4608.000000,13.215037,143.797405
5120.000000,14.442201,144.958412
5632.000000,15.600939,152.397220
6144.000000,16.769070,143.487124
6656.000000,17.106296,148.159759
7168.000000,18.205551,149.113389
7680.000000,19.114778,151.104706
8192.000000,20.087711,144.078045
8704.000000,7.278609,144.328268
9216.000000,7.626226,155.300069
9728.000000,7.990848,155.837724
10240.000000,8.339591,154.752711
10752.000000,8.507110,156.449581
11264.000000,8.834196,158.048264
11776.000000,9.167618,157.958755
12288.000000,9.459552,152.836935
12800.000000,9.589186,158.276260
13312.000000,9.866884,158.385197
13824.000000,10.156977,158.129464
14336.000000,10.425254,157.216775
14848.000000,10.559934,161.045422
15360.000000,10.846459,157.699309
15872.000000,11.141288,161.745488
